Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
HTZ,Hertz Global Holdings Inc,2.84,-0.23,-7.49%,3.04,2.8,25626701,5/22/20
SAVE,Spirit Airlines Inc,10.17,0.1,0.99%,10.47,9.86,17173000,5/22/20
BBBY,Bed Bath & Beyond,6.7,-0.1,-1.47%,7.13,6.57,12453100,5/22/20
KDMN,Kadmon Holdings Llc,4.66,0.11,2.42%,4.78,4.5,11744300,5/22/20
DVAX,Dynavax Technologies,5.13,-0.53,-9.36%,5.71,5,11450400,5/22/20
CLVS,Clovis Oncology Inc,7.01,-0.52,-6.91%,7.5,6.95,9107900,5/22/20
NYMT,New York Mtge Trust,2.01,-0.03,-1.23%,2.03,1.9,9009600,5/22/20
INSG,Inseego Corp,11.17,1.33,13.52%,11.28,9.77,8193300,5/22/20
IVR,Invesco Mortgage Capital Inc,2.77,-0.02,-0.72%,2.8,2.7,7976100,5/22/20
ATRA,Atara Biotherap,14.81,-0.12,-0.80%,19.36,14.23,7766600,5/22/20
MAXR,Maxar Technologies Ltd,12.15,2.15,21.50%,12.34,9.9,7577700,5/22/20
AR,Antero Resources Corp,3.22,0.11,3.54%,3.25,3,7190100,5/22/20
SNDX,Syndax Pharma,16,-4.5,-21.95%,17.5,15.25,7122400,5/22/20
PTEN,Patterson-Uti Energy,3.55,-0.34,-8.74%,3.84,3.46,7045200,5/22/20
MNLO,Menlo Therapeutics Inc,2.24,0.04,1.82%,2.35,2.06,6430100,5/22/20
NAT,Nordic American Tanker Shipping Ltd,4.48,-0.27,-5.68%,4.61,4.41,6038800,5/22/20
RWT,Redwood Trust,5.09,0.41,8.76%,5.14,4.47,5752600,5/22/20
VBIV,Vbi Vaccines Inc CS,2.46,0.01,0.20%,2.53,2.3,5071000,5/22/20
HOME,At Home Group Inc,4.33,-0.15,-3.35%,4.64,4.03,5059700,5/22/20
PLAY,Dave & Buster's Ente,12.03,0.51,4.38%,12.19,11.41,4620400,5/22/20
NEPT,Neptune Wellness Solutions Inc,3.05,0.2,7.02%,3.43,2.83,4322300,5/22/20
WTI,W&T Offshore,2.74,0.04,1.48%,2.74,2.6,4319300,5/22/20
MTDR,Matador Resources Company,8.38,-0.04,-0.48%,8.43,7.95,4087900,5/22/20
SM,Sm Energy Company,3.82,0.16,4.37%,3.84,3.49,4068500,5/22/20
VTIQ,Vectoiq Acquisition Corp,25.66,1.58,6.56%,26.5,23.52,4010500,5/22/20
BCRX,Biocryst Pharma Inc,5.45,0.1,1.87%,5.47,5.23,3632800,5/22/20
OCUL,Ocular Therapeut,7.22,1.16,19.14%,7.58,6.14,3498000,5/22/20
TRIL,Trillium Therapeutic,6.39,-0.34,-5.05%,7.12,6.24,3364700,5/22/20
DHT,Dht Holdings,5.69,0.05,0.89%,5.73,5.44,3253000,5/22/20
TRTX,Tpg Re Finance Trust Inc,7.14,0.23,3.33%,7.16,6.77,3198300,5/22/20
BKD,Brookdale Senior Living Inc,3.31,-0.04,-1.19%,3.38,3.08,3197400,5/22/20
TSE,Trinseo S.A.,20.55,1.54,8.10%,21.49,18.42,3084200,5/22/20
TNK,Teekay Tankers Ltd,16.49,-0.32,-1.90%,17.39,15.32,2978800,5/22/20
HLX,Helix Energy Solutions Group,2.58,-0.06,-2.27%,2.67,2.48,2887100,5/22/20
FSM,Fortuna Silver Mines,4.2,-0.06,-1.41%,4.42,4.19,2816800,5/22/20
ZIOP,Ziopharm Oncology IN,3.42,0.31,9.97%,3.42,3.07,2797400,5/22/20
ELF,E.L.F. Beauty Inc,16.86,2.43,16.84%,16.99,15.36,2784300,5/22/20
MNK,Mallinckrodt Plc,3.37,-0.01,-0.30%,3.55,3.3,2753700,5/22/20
CODX,Co-Diagnostics Inc,18.55,0.53,2.94%,18.8,17.58,2741000,5/22/20
BGCP,Bgc Partners Cl A,2.57,-0.13,-4.64%,2.75,2.56,2641700,5/22/20
BLMN,Bloomin' Brands Inc,10.83,-0.52,-4.54%,11.45,10.77,2592900,5/22/20
AXL,American Axle & Manufacturing,6.94,0.18,2.66%,6.99,6.57,2532300,5/22/20
MIK,The Michaels Comp,2.93,-0.01,-0.34%,3.02,2.88,2525800,5/22/20
OVID,Ovid Therapeutics Inc,5.85,0.76,14.93%,6.11,5.15,2481400,5/22/20
SVM,Silvercorp Metals Inc,4.13,-0.05,-1.20%,4.35,4.11,2473100,5/22/20
CRBP,Corbus Pharma,8.06,0.4,5.22%,8.32,7.7,2414500,5/22/20
AMC,Amc Entertainment Holdings Inc,4.58,-0.05,-1.08%,4.68,4.56,2408800,5/22/20
ENDP,Endo Int'l Plc,3.86,-0.05,-1.28%,3.95,3.79,2388700,5/22/20
GME,Gamestop Corp,4.18,-0.26,-5.86%,4.49,4.13,2379800,5/22/20
RAD,Rite Aid Corp,12.42,0,0.00%,12.66,12.1,2350200,5/22/20
ANF,Abercrombie & Fitch Company,11.81,-0.22,-1.83%,12.18,11.64,2320300,5/22/20
ADMA,Adma Biologics,2.84,-0.07,-2.41%,2.96,2.76,2277100,5/22/20
CERS,Cerus Corp,5.92,0.36,6.47%,5.93,5.46,2231200,5/22/20
ATHX,Athersys Inc,3.06,-0.06,-1.92%,3.15,3,2212200,5/22/20
RUBI,The Rubicon Project Inc,5.17,-0.08,-1.52%,5.39,5.03,2209200,5/22/20
AGEN,Agenus Inc,2.5,0,0.00%,2.6,2.45,2198600,5/22/20
CMCM,Cheetah Mobile Inc,2.88,-0.02,-0.69%,3.69,2.65,2190000,5/22/20
OSTK,Overstock.com Inc,17.6,-0.25,-1.40%,18.15,17.3,2185300,5/22/20
CRK,Comstock Resources,4.99,-0.17,-3.29%,5.15,4.8,2177700,5/22/20
GBX,Greenbrier Companies,21.35,1.7,8.65%,21.62,19.12,2167200,5/22/20
EROS,Eros International Plc,3.18,-0.04,-1.24%,3.28,3.11,2122700,5/22/20
SIG,Signet Jewelers Ltd,10.24,0.08,0.79%,10.68,10,2115100,5/22/20
EVRI,Everi Holdings Inc,5.68,0.09,1.61%,5.83,5.36,2002700,5/22/20
AXU,Alexco Resource Corp,2.18,-0.04,-1.80%,2.3,2.09,1940700,5/22/20
SKT,Tanger Factory Outlet Centers,6.04,-0.17,-2.74%,6.27,5.94,1835200,5/22/20
GIII,G-III Apparel Gp,9.94,-0.22,-2.17%,10.28,9.61,1729200,5/22/20
BBAR,Bbva Banco Frances S.A.,3.69,0.07,1.93%,3.71,3.42,1701500,5/22/20
APY,Apergy Corp,8.65,-0.15,-1.70%,8.76,8.44,1698500,5/22/20
FLDM,Fluidigm Corp,4.89,0.22,4.82%,4.98,4.57,1698400,5/22/20
INFN,Infinera Corp,4.6,-0.04,-0.86%,4.72,4.5,1687000,5/22/20
ERJ,Embraer-Empresa Brasileira DE Aeronautica,4.65,-0.08,-1.69%,4.87,4.64,1679800,5/22/20
JKS,Jinkosolar Holding Company Ltd,15.05,-0.84,-5.29%,15.84,14.98,1679800,5/22/20
TNP,Tsakos Energy Navigation Ltd,2.66,-0.04,-1.48%,2.71,2.5,1651900,5/22/20
ABR,Arbor Realty Trust,7.89,0.29,3.82%,7.94,7.45,1637000,5/22/20
GPRO,Gopro Inc Cl A,4.16,-0.04,-0.95%,4.21,4.1,1587900,5/22/20
TK,Teekay Shipping Corp,2.91,-0.15,-4.90%,3.07,2.83,1585700,5/22/20
AMRS,Amyris Inc,3.52,-0.13,-3.56%,3.73,3.46,1583400,5/22/20
GOSS,Gossamer Bio Inc,12.62,0.12,0.96%,12.78,12.12,1582700,5/22/20
IMGN,Immunogen Inc,5.14,0.02,0.39%,5.22,4.99,1578400,5/22/20
RLGY,Realogy Holdings Corp,4.81,-0.01,-0.21%,4.92,4.61,1569200,5/22/20
TGI,Triumph Group,5.55,-0.1,-1.77%,5.7,5.08,1568200,5/22/20
CAKE,Cheesecake Fact,19.97,0.01,0.05%,20.39,19.48,1524000,5/22/20
BTU,Peabody Energy Corp,3.21,-0.22,-6.41%,3.4,3.11,1485700,5/22/20
PBI,Pitney Bowes Inc,2.34,-0.12,-4.88%,2.46,2.27,1484200,5/22/20
JMIA,Jumia Technologies Ag ADR,4.69,-0.19,-3.89%,4.93,4.6,1466200,5/22/20
MEIP,Mei Pharma Inc,3.51,0.12,3.54%,3.54,3.29,1454500,5/22/20
NMRK,Newmark Group Inc Cl A,3.74,-0.17,-4.35%,3.9,3.61,1442400,5/22/20
OMI,Owens & Minor,7.35,-0.65,-8.13%,7.93,7.22,1432500,5/22/20
CAL,Caleres Inc,6.77,-0.04,-0.59%,6.91,6.43,1407600,5/22/20
DBI,Designer Brands Inc,5.57,-0.25,-4.30%,5.91,5.42,1397300,5/22/20
VET,Vermilion Energy Inc,5.1,-0.15,-2.86%,5.15,4.88,1383800,5/22/20
ADAP,Adaptimmune Ther Ads,5.77,-0.1,-1.70%,6.05,5.55,1374900,5/22/20
AINV,Apollo Investment Company,9.47,-0.49,-4.92%,9.89,9.26,1374700,5/22/20
GAN,Gan Limited,15.4,0.42,2.80%,15.8,14.36,1355200,5/22/20
DDD,3D Systems Corp,7.36,-0.07,-0.94%,7.44,7.19,1331400,5/22/20
CADE,Cadence Bancorp Cl A,6.84,-0.3,-4.20%,7.28,6.63,1321100,5/22/20
OSUR,Orasure Tech Inc,14.87,0.48,3.34%,15.69,14.37,1303800,5/22/20
FLXN,Flexion Therapeutics,9.77,-0.06,-0.61%,10.03,9.5,1296000,5/22/20
DHC,Diversified Healthcare Trust,2.87,-0.23,-7.42%,3.13,2.82,1293600,5/22/20
PUMP,Propetro Holding Corp,4.85,-0.26,-5.09%,5.09,4.79,1285000,5/22/20
STML,Stemline Therapeutic,11.9,0.03,0.25%,11.91,11.72,1284300,5/22/20
QTT,Qutoutiao Inc ADR,2.33,-0.18,-7.17%,2.48,2.3,1283800,5/22/20
BKE,Buckle Inc,14.72,-1.03,-6.54%,16.14,14.36,1275600,5/22/20
GOL,Gol Linhas Aereas Inteligentes S.A.,4.36,-0.13,-2.90%,4.46,4.23,1268900,5/22/20
TEN,Tenneco Automotive,5.51,0.15,2.80%,5.52,5.17,1256200,5/22/20
WBT,Welbilt Inc,5.55,0.09,1.65%,5.59,5.27,1243900,5/22/20
CYH,Community Health Systems,3.2,-0.13,-3.90%,3.35,3.15,1240300,5/22/20
RVLV,Revolve Group Inc,14.59,1.39,10.53%,14.89,13.15,1235100,5/22/20
BOOT,Boot Barn Holdings Inc,20.94,-0.52,-2.42%,21.58,19.83,1233700,5/22/20
VKTX,Viking Thera,7.95,0.06,0.76%,8.01,7.66,1229900,5/22/20
GES,Guess Inc,7.84,-0.35,-4.27%,8.23,7.58,1228400,5/22/20
CBAY,Cymabay Therapeutics,3.86,-0.04,-1.03%,4.01,3.81,1223700,5/22/20
GLOG,Gaslog Ltd,3.5,-0.03,-0.85%,3.58,3.3,1212200,5/22/20
CNDT,Conduent Inc,2.23,-0.04,-1.54%,2.31,2.16,1204900,5/22/20
LTHM,Livent Corp,6.13,0.04,0.66%,6.15,5.92,1197100,5/22/20
CARS,Cars.com Inc,6.05,-0.05,-0.82%,6.18,5.83,1190500,5/22/20
LADR,Ladder Capital Corp,7.77,0.17,2.24%,7.8,7.26,1181400,5/22/20
KTB,Kontoor Brands Inc [Ktb/I],14.04,-0.49,-3.37%,14.65,13.69,1147000,5/22/20
KALA,Kala Pharmaceuticals Inc,13.09,0.53,4.22%,13.4,12.29,1132900,5/22/20
CYRX,Cryoport Inc,22.73,1.31,6.12%,22.79,20.86,1127500,5/22/20
ATI,Allegheny Technologies Inc,7.85,0.04,0.51%,7.91,7.66,1118700,5/22/20
LLNW,Limelight Networks,5.31,-0.04,-0.75%,5.4,5.18,1091000,5/22/20
DBD,Diebold Nixdorf Inc,5.23,0.13,2.55%,5.26,5.12,1085400,5/22/20
TROX,Tronox Inc,6.25,-0.25,-3.85%,6.56,6.15,1084000,5/22/20
XHR,Xenia Hotels & Resorts Inc,7.94,-0.42,-5.02%,8.43,7.85,1048500,5/22/20
MSGN,Msg Networks Inc,13.31,-0.09,-0.67%,13.65,13.15,1040000,5/22/20
USAS,Americas Silver Corp,2.58,-0.04,-1.53%,2.75,2.53,1018700,5/22/20
NK,Nantkwest Inc CS,5.58,-0.14,-2.45%,5.79,5.17,1012100,5/22/20
AROC,Archrock Inc,5.88,0.07,1.20%,5.88,5.66,1011700,5/22/20
CPRX,Catalyst Pharm Inc,4.42,0.02,0.45%,4.5,4.32,1008600,5/22/20
GNMK,Genmark Diagnostics,9.98,0.19,1.94%,10.1,9.79,1006300,5/22/20
DRRX,Durect Corp,2.47,-0.05,-1.98%,2.6,2.45,977000,5/22/20
GEL,Genesis Energy LP,7.53,0.21,2.87%,7.59,7.13,961500,5/22/20
HUD,Hudson Ltd Cl A,4.79,0.07,1.48%,4.97,4.42,951500,5/22/20
OII,Oceaneering International,5.27,-0.15,-2.77%,5.37,5.11,947600,5/22/20
PGEN,Precigen Inc.,2.57,0.09,3.42%,2.61,2.44,940800,5/22/20
NERV,Minerva Neuroscie,14.28,-0.29,-1.99%,14.87,14.27,935900,5/22/20
ATRS,Antares Pharma,2.91,0.1,3.56%,2.93,2.75,925000,5/22/20
APPS,Digital Turbine,5.82,-0.01,-0.26%,5.89,5.68,913100,5/22/20
MDP,Meredith Corp,14.96,0.09,0.61%,15.18,14.6,910100,5/22/20
GPMT,Granite Point Mortgage Trust Inc,5.08,-0.04,-0.78%,5.11,4.86,904600,5/22/20
CHEF,The Chefs Warehouse,14.38,-0.02,-0.14%,14.57,13.86,898700,5/22/20
HIMX,Himax Technologies,3.05,-0.07,-2.24%,3.14,3.02,898200,5/22/20
ZIXI,Zix Corp,6.23,0.06,0.97%,6.26,6.07,897700,5/22/20
EB,Eventbrite Inc,8.5,-0.14,-1.62%,8.75,8.15,895900,5/22/20
PACB,Pacific Biosciences,3.52,-0.2,-5.38%,3.8,3.51,887400,5/22/20
GORO,Gold Resource Corp,4.03,-0.07,-1.71%,4.22,4.01,881700,5/22/20
NMIH,Nmi Holdings Inc,14.46,-0.04,-0.28%,14.71,13.93,867500,5/22/20
PLCE,Children's Place Inc,38.8,2,5.43%,40.11,36.74,863200,5/22/20
GLNG,Golar Lng Ltd,6.63,-0.1,-1.49%,6.67,6.45,853700,5/22/20
GPRE,Green Plains Inc,8.81,-0.52,-5.62%,9.28,8.26,853400,5/22/20
VHC,Virnetx Holding Corp,7.19,0.38,5.58%,7.19,6.68,850000,5/22/20
ARR,Armour Residential R,8.01,0.11,1.39%,8.02,7.71,841500,5/22/20
AERI,Aerie Pharmaceuticals,15.74,-0.27,-1.69%,16.3,15.72,827800,5/22/20
BE,Bloom Energy Corp Cl A,7.92,-0.01,-0.13%,8,7.67,825700,5/22/20
CELH,Celsius Holdings Inc,8.99,0.6,7.15%,8.99,8.34,824100,5/22/20
UNFI,United Nat Foods,17.47,0.03,0.17%,17.98,17.05,817900,5/22/20
MEET,The Meet Group,6.19,0,0.00%,6.2,6.18,811800,5/22/20
NPTN,Neophotonics Corp,8.3,-0.02,-0.24%,8.51,8.2,804400,5/22/20
SELB,Selecta Biosciences,3.92,0.03,0.77%,4.15,3.67,797200,5/22/20
KRG,Kite Realty Group Trust,9.68,-0.01,-0.10%,9.78,9.36,788000,5/22/20
VSTO,Vista Outdoor Inc,8.16,0.26,3.29%,8.26,7.86,776400,5/22/20
HCC,Warrior Met Coal Inc,14.04,0.07,0.50%,14.31,13.37,773500,5/22/20
NGL,Ngl Energy Partners LP,5.08,-0.06,-1.17%,5.18,4.91,765500,5/22/20
VSLR,Vivint Solar Inc,6.9,-0.28,-3.90%,7.21,6.86,760900,5/22/20
ERF,Enerplus Corp,2.75,-0.07,-2.48%,2.8,2.66,758400,5/22/20
MNRL,Brigham Minerals Inc,12.8,-0.45,-3.40%,13.1,11.93,758200,5/22/20
RES,RPC Inc,3.15,-0.37,-10.51%,3.52,3.12,754800,5/22/20
HIBB,Hibbett Sports Inc,19.5,0.59,3.09%,20.02,18.63,749700,5/22/20
BDSI,Biodelivery Sci Intl,4.93,0.32,6.82%,4.95,4.57,748200,5/22/20
SPPI,Spectrum Pharma Inc,3.09,-0.02,-0.48%,3.12,3,744000,5/22/20
EXTR,Extreme Networks,3.32,0.08,2.47%,3.33,3.13,742800,5/22/20
REZI,Resideo Technologies Inc,5.89,-0.2,-3.28%,6.19,5.79,735800,5/22/20
DOMO,Domo Inc Cl B,25.01,0.55,2.25%,25.11,24.25,732100,5/22/20
EIGI,Endurance Int Group,3.08,0.02,0.65%,3.31,3.04,730800,5/22/20
ARCO,Arcos Dorados Holdings Inc,3.44,-0.08,-2.27%,3.52,3.35,724800,5/22/20
PBYI,Puma Biotechnology,11.71,-0.24,-2.01%,11.94,11.47,724300,5/22/20
CEQP,Crestwood Equity Partners LP,12.21,-0.14,-1.13%,12.35,11.75,724000,5/22/20
HA,Hawaiian Hlds Inc,13.38,-0.05,-0.37%,13.76,12.97,724000,5/22/20
CMO,Capstead Mortgage Corp,5.12,0.17,3.43%,5.13,4.93,716600,5/22/20
CALA,Calithera Biosci Com,6.27,0.14,2.28%,6.28,6,716400,5/22/20
CENX,Century Aluminum C,4.89,0.05,1.03%,4.91,4.72,711700,5/22/20
SRG,Seritage Growth Properties,7.81,-0.03,-0.38%,7.99,7.53,709800,5/22/20
KURA,Kura Oncology,16.84,0.49,3.00%,17.3,16.32,694500,5/22/20
LPG,Dorian Lpg Ltd,7.83,0.03,0.38%,7.85,7.36,687100,5/22/20
NEX,Nextier Oilfield Solutions Inc.,2.85,-0.14,-4.68%,2.98,2.81,687100,5/22/20
ICLK,Iclick Interactive Asia Group Ltd ADR,5.39,-0.02,-0.37%,5.48,5.08,682400,5/22/20
FTAI,Fortress Transportation & Infra,10.04,-0.32,-3.09%,10.35,9.73,678400,5/22/20
PLYA,Playa Hotels & Resorts N.V.,2.64,0.02,0.76%,2.66,2.44,676500,5/22/20
CGEN,Compugen Ltd,14.31,0.39,2.80%,14.38,13.8,676100,5/22/20
DENN,Dennys Corp,10.62,0.1,0.95%,10.74,10.39,674600,5/22/20
ACTT,Act II Global Acquisition Corp Cl A,10.08,0.01,0.10%,10.1,10.06,667000,5/22/20
ADRO,Aduro Biotech,3.25,-0.06,-1.81%,3.39,3.11,659000,5/22/20
INN,Summit Hotel Properties,5.46,-0.19,-3.36%,5.73,5.28,658300,5/22/20
SOHU,Sohu.com Inc,7,-0.72,-9.33%,7.63,6.98,653800,5/22/20
MODN,Model N Inc,28.79,0.3,1.05%,28.91,27.68,653200,5/22/20
NMFC,New Mountain Finance Corp,9.11,0.23,2.59%,9.15,8.75,652500,5/22/20
OMP,Oasis Midstream Partners LP,9.44,-0.37,-3.77%,9.86,9.25,650000,5/22/20
ORC,Orchid Island Capital Inc,4.17,0.07,1.71%,4.18,4.01,646400,5/22/20
GLDD,Great Lakes Drg Dock,8.77,0.16,1.86%,9,8.4,646100,5/22/20
Downloaded from Barchart.com as of 05-25-2020 11:23pm CDT,,,,,,,,